order_id,order_date,customer_id,customer_segment,region,salesperson,product_category,product_name,quantity,unit_price,discount,gross_revenue,revenue,cost,profit,profit_margin
ORD-20250000,2025-04-13,CUST-4772,Enterprise,West,Amara Okafor,Hardware,Security Appliance,9,3083.21,0.0,27748.87,27748.87,14339.0,13409.87,0.4833
ORD-20250001,2025-12-26,CUST-3391,Enterprise,West,Elena Rostova,Cloud Solutions,Enterprise AI Suite,8,3325.27,0.05,26602.18,25272.07,13589.68,11682.39,0.4623
ORD-20250002,2025-01-22,CUST-2082,Enterprise,North,Priya Sharma,Software,CRM Enterprise,12,2291.2,0.15,27494.4,23370.24,14880.35,8489.88,0.3633
ORD-20250003,2025-06-24,CUST-3879,Enterprise,East,Sarah Jenkins,Cloud Solutions,Serverless Compute,5,503.49,0.05,2517.47,2391.59,1165.61,1225.98,0.5126
ORD-20250004,2025-03-30,CUST-4417,SMB,Central,Amara Okafor,Software,DevOps Automation,2,967.5,0.0,1935.0,1935.0,917.98,1017.02,0.5256
ORD-20250005,2025-09-21,CUST-2585,Consumer,North,Lucas Meyer,Cloud Solutions,Serverless Compute,4,441.53,0.0,1766.11,1766.11,987.86,778.25,0.4407
ORD-20250006,2025-11-06,CUST-1161,SMB,North,Michael Chang,Software,CyberDefense Suite,2,3023.73,0.05,6047.46,5745.09,2828.39,2916.7,0.5077
ORD-20250007,2025-08-03,CUST-3767,Consumer,East,Amara Okafor,Hardware,Workstation Pro,2,2208.73,0.0,4417.46,4417.46,2840.66,1576.81,0.3569
ORD-20250008,2025-07-07,CUST-4884,Enterprise,East,Sarah Jenkins,Professional Services,Annual Maintenance,10,1607.59,0.0,16075.91,16075.91,7279.43,8796.48,0.5472
ORD-20250009,2025-03-22,CUST-2796,SMB,West,Michael Chang,Software,CRM Enterprise,3,2436.26,0.05,7308.78,6943.34,4200.06,2743.28,0.3951
ORD-20250010,2025-02-02,CUST-1804,Enterprise,North,David Ross,Hardware,Security Appliance,14,3142.64,0.05,43997.0,41797.15,23168.18,18628.97,0.4457
ORD-20250011,2025-05-11,CUST-1397,Mid-Market,West,Priya Sharma,Professional Services,Annual Maintenance,4,1503.41,0.0,6013.64,6013.64,2736.71,3276.93,0.5449
ORD-20250012,2025-06-28,CUST-2020,Mid-Market,North,Lucas Meyer,Cloud Solutions,Serverless Compute,5,468.34,0.0,2341.7,2341.7,1245.97,1095.74,0.4679
ORD-20250013,2025-06-20,CUST-2722,Consumer,North,David Ross,Hardware,Network Gateway Gen4,2,1660.87,0.0,3321.75,3321.75,1691.19,1630.56,0.4909
ORD-20250014,2025-05-14,CUST-4869,Enterprise,South,James Wilson,Cloud Solutions,Serverless Compute,13,442.1,0.0,5747.24,5747.24,3628.61,2118.63,0.3686
